Rachunki bieżące Podsumowania,,,,,,,,,,
,,,,,,,,,,
Konto osobiste (PLN),,,,,,,,,,
,,,,,,,,,,
Dane rachunku bieżącego,,,,,,,,,,
Numer konta (LT IBAN),LT283250039602550890,Data otwarcia,6 lis 2022,,,,,,,
Numer konta (PL IBAN),PL57291000060000000003698351,Data zamknięcia,,,,,,,,
Rodzaj własności,Osoba fizyczna,Liczba dni posiadania (w wybranym okresie),129,,,,,,,
Wykorzystanie konta,Osobiste,,,,,,,,,
Rodzaj konta,Bieżące,,,,,,,,,
,,,,,,,,,,
Informacje o instytucji finansowej,,,,,,,,,,
Nazwa instytucji finansowej,Revolut Bank UAB,Numer rejestracyjny,LT100011706713,,,,,,,
Adres i kraj,"Konstitucijos ave. 21B, LT-08130, Vilnius",,,,,,,,,
,,,,,,,,,,
Wartość depozytu,,,,,,,,,,
Średnie saldo I kw. 2026,"188,40 PLN",Saldo początkowe,"0,00 PLN",,,,,,,
,,Saldo końcowe,"0,53 PLN",,,,,,,
,,Maksymalne saldo,"32 100,00 PLN",,,,,,,
,,Średnie saldo w całym okresie,"180,39 PLN",,,,,,,
,,,,,,,,,,
---------,,,,,,,,,,
Transaction statement (only interest receipt),,,,,,,,,,
Data,Opis,Gross rate,Gross interest,Taxes withheld,Other taxes,Fees,Net interest,,,
27.01.2026,Oprocentowanie brutto,1.5%,"0,01€ (0,05 PLN)","0,00€ (0,00 PLN)","0,00€ (0,00 PLN)","0,00€ (0,00 PLN)","0,01€ (0,05 PLN)",,,
30.01.2026,Oprocentowanie brutto,1.5%,"0,01€ (0,05 PLN)","0,00€ (0,00 PLN)","0,00€ (0,00 PLN)","0,00€ (0,00 PLN)","0,01€ (0,05 PLN)",,,
3.02.2026,Oprocentowanie brutto,1.5%,"0,01€ (0,05 PLN)","0,00€ (0,00 PLN)","0,00€ (0,00 PLN)","0,00€ (0,00 PLN)","0,01€ (0,05 PLN)",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
---------,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Transaction statement (only interest receipt),,,,,,,,,,
Data,Opis,Gross rate,Gross interest,Taxes withheld,Other taxes,Fees,Net interest,,,
1.01.2026,Oprocentowanie brutto,4%,"1,81 PLN","0,00 PLN","0,00 PLN","0,00 PLN","1,81 PLN",,,
1.01.2026,Oprocentowanie brutto,4%,"4,39 PLN","0,00 PLN","0,00 PLN","0,00 PLN","4,39 PLN",,,
2.01.2026,Oprocentowanie brutto,4%,"1,81 PLN","0,00 PLN","0,00 PLN","0,00 PLN","1,81 PLN",,,
2.01.2026,Oprocentowanie brutto,4%,"4,40 PLN","0,00 PLN","0,00 PLN","0,00 PLN","4,40 PLN",,,
---------,,,,,,,,,,
,,,,,,,,,,
Investment Services Transaction Statements,,,,,,,,,,
,,,,,,,,,,
Zestawienie transakcji (tylko wpływy z dywidendy),,,,,,,,,,
Data,Opis i symbol ,ISIN,Kraj,Brutto dywidendy / dochodu,Zatrzymane podatki,Inne podatki,Opłaty,Dywidenda/dochód netto,,
6 sty 2026,Best Buy dividend,US0865161014,US,"112,69$ (405,87 PLN)","16,90$ (60,86 PLN)","0,00$ (0,00 PLN)","0,00 PLN (0,00 PLN)","95,79$ (345,00 PLN)",,
7 sty 2026,Canadian Natural Resources dividend,CA1363851017,CA,"27,32$ (98,47 PLN)","6,83$ (24,61 PLN)","0,00$ (0,00 PLN)","0,00 PLN (0,00 PLN)","20,49$ (73,85 PLN)",,
9 sty 2026,Dentsply dividend,US24906P1093,US,"25,50$ (92,42 PLN)","3,82$ (13,84 PLN)","0,00$ (0,00 PLN)","0,00 PLN (0,00 PLN)","21,68$ (78,57 PLN)",,
